# Teff=  4000 K   Age= 1.0 Myr   M*= 0.70 Mo   R*= 2.64 Ro 
# 
# Rdisk=  300 AU         Rhole= 11.0 R* 
# Mdot= 1.0e-07 Mo/yr    alpha= 0.010      Mass= 0.410  Mo  
# p= 3.5                 amin=0.005 mu     amax= 10 mu 
# 
# log(R)       log(Tphot)   log(Tc)      log(Tirr)    log(To)      log(Tvis)    log(Sigma)   log(H)       log(Ztauss)  log(Zinf)    log(tau_r)
# 
  9.7608e-01   1.6675e+00   1.8937e+00   1.8243e+00   2.1199e+00   1.4060e+00   2.2753e+00  -2.4503e-01   3.4661e-01   6.0873e-01   2.1511e+00 
  1.0190e+00   1.6533e+00   1.8380e+00   1.8094e+00   2.1028e+00   1.3740e+00   2.2549e+00  -2.0837e-01   4.0238e-01   6.6267e-01   2.0280e+00 
  1.0619e+00   1.6390e+00   1.7866e+00   1.7943e+00   2.0856e+00   1.3420e+00   2.2307e+00  -1.6982e-01   4.6076e-01   7.1613e-01   1.9096e+00 
  1.1047e+00   1.6139e+00   1.7350e+00   1.7788e+00   2.0515e+00   1.3101e+00   2.2095e+00  -1.3137e-01   5.1648e-01   7.6067e-01   1.7883e+00 
  1.1475e+00   1.5796e+00   1.6845e+00   1.7626e+00   2.0052e+00   1.2781e+00   2.1916e+00  -9.2424e-02   5.6382e-01   8.0166e-01   1.6632e+00 
  1.1906e+00   1.5640e+00   1.6443e+00   1.7460e+00   1.9874e+00   1.2460e+00   2.1584e+00  -4.7835e-02   6.1991e-01   8.5628e-01   1.5568e+00 
  1.2333e+00   1.5486e+00   1.6091e+00   1.7292e+00   1.9699e+00   1.2140e+00   2.1223e+00  -1.4425e-03   6.7415e-01   9.1042e-01   1.4558e+00 
  1.2764e+00   1.5329e+00   1.5775e+00   1.7118e+00   1.9523e+00   1.1818e+00   2.0832e+00   4.7468e-02   7.2891e-01   9.6515e-01   1.3572e+00 
  1.3193e+00   1.5171e+00   1.5492e+00   1.6938e+00   1.9348e+00   1.1498e+00   2.0425e+00   9.7522e-02   7.8478e-01   1.0195e+00   1.2611e+00 
  1.3620e+00   1.5015e+00   1.5241e+00   1.6758e+00   1.9175e+00   1.1179e+00   1.9997e+00   1.4914e-01   8.3903e-01   1.0738e+00   1.1674e+00 
  1.4049e+00   1.4853e+00   1.5009e+00   1.6572e+00   1.8999e+00   1.0860e+00   1.9557e+00   2.0182e-01   8.9346e-01   1.1280e+00   1.0748e+00 
  1.4478e+00   1.4691e+00   1.4793e+00   1.6384e+00   1.8822e+00   1.0538e+00   1.9110e+00   2.5520e-01   9.4921e-01   1.1823e+00   9.8214e-01 
  1.4908e+00   1.4515e+00   1.4579e+00   1.6192e+00   1.8647e+00   1.0216e+00   1.8665e+00   3.0921e-01   1.0033e+00   1.2364e+00   8.8775e-01 
  1.5336e+00   1.4326e+00   1.4368e+00   1.5999e+00   1.8473e+00   9.8976e-01   1.8229e+00   3.6277e-01   1.0570e+00   1.2901e+00   7.9270e-01 
  1.5765e+00   1.4133e+00   1.4160e+00   1.5804e+00   1.8302e+00   9.5766e-01   1.7791e+00   4.1676e-01   1.1110e+00   1.3442e+00   6.9687e-01 
  1.6194e+00   1.3946e+00   1.3965e+00   1.5608e+00   1.8133e+00   9.2557e-01   1.7338e+00   4.7138e-01   1.1673e+00   1.3987e+00   6.0102e-01 
  1.6623e+00   1.3757e+00   1.3771e+00   1.5406e+00   1.7973e+00   8.9348e-01   1.6882e+00   5.2606e-01   1.2219e+00   1.4537e+00   5.0514e-01 
  1.7052e+00   1.3574e+00   1.3583e+00   1.5208e+00   1.7811e+00   8.6141e-01   1.6420e+00   5.8100e-01   1.2787e+00   1.5087e+00   4.1033e-01 
  1.7480e+00   1.3389e+00   1.3393e+00   1.5008e+00   1.7648e+00   8.2937e-01   1.5958e+00   6.3573e-01   1.3349e+00   1.5635e+00   3.1546e-01 
  1.7910e+00   1.3199e+00   1.3204e+00   1.4809e+00   1.7484e+00   7.9720e-01   1.5495e+00   6.9065e-01   1.3897e+00   1.6182e+00   2.2032e-01 
  1.8338e+00   1.3008e+00   1.3008e+00   1.4608e+00   1.7325e+00   7.6515e-01   1.5035e+00   7.4525e-01   1.4461e+00   1.6730e+00   1.2465e-01 
  1.8767e+00   1.2817e+00   1.2817e+00   1.4406e+00   1.7165e+00   7.3304e-01   1.4570e+00   7.9999e-01   1.5011e+00   1.7281e+00   3.0037e-02 
  1.9196e+00  -1.6000e+01   1.2620e+00   1.4202e+00   1.7005e+00   7.0096e-01   1.4107e+00   8.5444e-01   1.5573e+00   1.7828e+00  -6.3143e-02 
  1.9625e+00  -1.6000e+01   1.2418e+00   1.3996e+00   1.6846e+00   6.6885e-01   1.3645e+00   9.0869e-01   1.6120e+00   1.8376e+00  -1.5722e-01 
  2.0054e+00  -1.6000e+01   1.2217e+00   1.3790e+00   1.6689e+00   6.3679e-01   1.3175e+00   9.6304e-01   1.6684e+00   1.8925e+00  -2.5118e-01 
  2.0483e+00  -1.6000e+01   1.2011e+00   1.3582e+00   1.6533e+00   6.0466e-01   1.2706e+00   1.0171e+00   1.7249e+00   1.9473e+00  -3.4121e-01 
  2.0910e+00  -1.6000e+01   1.1810e+00   1.3374e+00   1.6376e+00   5.7264e-01   1.2228e+00   1.0712e+00   1.7796e+00   2.0020e+00  -4.3110e-01 
  2.1340e+00  -1.6000e+01   1.1599e+00   1.3164e+00   1.6220e+00   5.4045e-01   1.1744e+00   1.1250e+00   1.8359e+00   2.0568e+00  -5.2250e-01 
  2.1770e+00  -1.6000e+01   1.1392e+00   1.2953e+00   1.6063e+00   5.0826e-01   1.1248e+00   1.1792e+00   1.8924e+00   2.1118e+00  -6.1086e-01 
  2.2197e+00  -1.6000e+01   1.1183e+00   1.2741e+00   1.5908e+00   4.7625e-01   1.0746e+00   1.2328e+00   1.9484e+00   2.1662e+00  -6.9912e-01 
  2.2626e+00  -1.6000e+01   1.0969e+00   1.2527e+00   1.5755e+00   4.4420e-01   1.0229e+00   1.2867e+00   2.0061e+00   2.2209e+00  -7.8891e-01 
  2.3055e+00  -1.6000e+01   1.0759e+00   1.2314e+00   1.5600e+00   4.1212e-01   9.6948e-01   1.3403e+00   2.0622e+00   2.2756e+00  -8.7801e-01 
  2.3485e+00  -1.6000e+01   1.0542e+00   1.2095e+00   1.5443e+00   3.7985e-01   9.1419e-01   1.3942e+00   2.1196e+00   2.3302e+00  -9.6869e-01 
  2.3914e+00  -1.6000e+01   1.0326e+00   1.1876e+00   1.5293e+00   3.4772e-01   8.5724e-01   1.4477e+00   2.1770e+00   2.3844e+00  -1.0599e+00 
  2.4342e+00  -1.6000e+01   1.0107e+00   1.1654e+00   1.5137e+00   3.1555e-01   7.9835e-01   1.5010e+00   2.2336e+00   2.4383e+00  -1.1522e+00 
  2.4771e+00  -1.6000e+01   9.8878e-01   1.1432e+00   1.4986e+00   2.8353e-01   7.3692e-01   1.5543e+00   2.2904e+00   2.4920e+00  -1.2454e+00 
