# Teff=  4000 K   Age= 10.0 Myr   M*= 0.80 Mo   R*= 1.16 Ro 
# 
# Rdisk=  300 AU         Rhole= 11.0 R* 
# Mdot= 1.0e-08 Mo/yr    alpha= 0.010      Mass= 0.061  Mo  
# p= 3.5                 amin=0.005 mu     amax= 100 mu 
# 
# log(R)       log(Tphot)   log(Tc)      log(Tirr)    log(To)      log(Tvis)    log(Sigma)   log(H)       log(Ztauss)  log(Zinf)    log(tau_r)
# 
  1.7177e+00  -1.6000e+01   1.1329e+00   1.2918e+00   1.5682e+00   6.1711e-01   8.6462e-01   4.5811e-01   1.0880e+00   1.3483e+00  -9.4919e-03 
  1.7653e+00  -1.6000e+01   1.1113e+00   1.2696e+00   1.5494e+00   5.8149e-01   8.1012e-01   5.1865e-01   1.1481e+00   1.4068e+00  -1.0496e-01 
  1.8126e+00  -1.6000e+01   1.0903e+00   1.2481e+00   1.5311e+00   5.4605e-01   7.5434e-01   5.7926e-01   1.2081e+00   1.4651e+00  -1.9840e-01 
  1.8599e+00  -1.6000e+01   1.0697e+00   1.2265e+00   1.5130e+00   5.1068e-01   6.9760e-01   6.3983e-01   1.2679e+00   1.5233e+00  -2.9085e-01 
  1.9075e+00  -1.6000e+01   1.0488e+00   1.2048e+00   1.4946e+00   4.7494e-01   6.3905e-01   7.0091e-01   1.3280e+00   1.5818e+00  -3.8293e-01 
  1.9549e+00  -1.6000e+01   1.0294e+00   1.1834e+00   1.4767e+00   4.3949e-01   5.7906e-01   7.6224e-01   1.3863e+00   1.6401e+00  -4.7317e-01 
  2.0025e+00  -1.6000e+01   1.0099e+00   1.1612e+00   1.4591e+00   4.0381e-01   5.1784e-01   8.2393e-01   1.4463e+00   1.6985e+00  -5.6408e-01 
  2.0499e+00  -1.6000e+01   9.9255e-01   1.1392e+00   1.4415e+00   3.6829e-01   4.5483e-01   8.8619e-01   1.5059e+00   1.7563e+00  -6.5322e-01 
  2.0975e+00  -1.6000e+01   9.7699e-01   1.1171e+00   1.4239e+00   3.3264e-01   3.8947e-01   9.4995e-01   1.5639e+00   1.8145e+00  -7.4189e-01 
  2.1449e+00  -1.6000e+01   9.6346e-01   1.0949e+00   1.4071e+00   2.9710e-01   3.2266e-01   1.0144e+00   1.6235e+00   1.8724e+00  -8.2958e-01 
  2.1924e+00  -1.6000e+01   9.5236e-01   1.0730e+00   1.3904e+00   2.6150e-01   2.5381e-01   1.0801e+00   1.6830e+00   1.9302e+00  -9.1641e-01 
  2.2398e+00  -1.6000e+01   9.4325e-01   1.0508e+00   1.3738e+00   2.2608e-01   1.8365e-01   1.1467e+00   1.7404e+00   1.9878e+00  -1.0031e+00 
  2.2872e+00  -1.6000e+01   9.3561e-01   1.0280e+00   1.3572e+00   1.9061e-01   1.1262e-01   1.2141e+00   1.7990e+00   2.0448e+00  -1.0905e+00 
  2.3348e+00  -1.6000e+01   9.2967e-01   1.0054e+00   1.3412e+00   1.5473e-01   3.9907e-02   1.2824e+00   1.8576e+00   2.1019e+00  -1.1777e+00 
  2.3822e+00  -1.6000e+01   9.2485e-01   9.8257e-01   1.3253e+00   1.1926e-01  -3.3641e-02   1.3513e+00   1.9159e+00   2.1585e+00  -1.2650e+00 
  2.4296e+00  -1.6000e+01   9.2096e-01   9.6001e-01   1.3096e+00   8.3861e-02  -1.0812e-01   1.4205e+00   1.9738e+00   2.2149e+00  -1.3524e+00 
  2.4771e+00  -1.6000e+01   9.1745e-01   9.3741e-01   1.2938e+00   4.8053e-02  -1.8326e-01   1.4901e+00   2.0297e+00   2.2707e+00  -1.4403e+00 
